DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x)))"
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x)))"
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x)))"
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x)))"
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x)))"
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x)))"
0,mujets,central,0,0,2.5,20.0,30.0,0,1,1.00444126129
0,mujets,central,0,0,2.5,30.0,50.0,0,1,1.00493657589
0,mujets,central,0,0,2.5,50.0,70.0,0,1,1.02694189548
0,mujets,central,0,0,2.5,70.0,100.0,0,1,0.987453043461
0,mujets,central,0,0,2.5,100.0,140.0,0,1,0.96616101265
0,mujets,central,0,0,2.5,140.0,200.0,0,1,0.899129927158
0,mujets,central,0,0,2.5,200.0,300.0,0,1,0.941396713257
0,mujets,central,0,0,2.5,300.0,670.0,0,1,0.980111777782
0,mujets,central,0,0,2.5,670.0,1000.0,0,1,0.915359735489
1,mujets,central,0,0,2.5,20.0,30.0,0,1,0.986955523491
1,mujets,central,0,0,2.5,30.0,50.0,0,1,0.963244616985
1,mujets,central,0,0,2.5,50.0,70.0,0,1,1.01809728146
1,mujets,central,0,0,2.5,70.0,100.0,0,1,0.94744181633
1,mujets,central,0,0,2.5,100.0,140.0,0,1,0.946629822254
1,mujets,central,0,0,2.5,140.0,200.0,0,1,0.875649452209
1,mujets,central,0,0,2.5,200.0,300.0,0,1,0.979117631912
1,mujets,central,0,0,2.5,300.0,670.0,0,1,1.05916500092
1,mujets,central,0,0,2.5,670.0,1000.0,0,1,0.881751179695
2,mujets,central,0,0,2.5,20.0,30.0,0,1,0.889686346054
2,mujets,central,0,0,2.5,30.0,50.0,0,1,0.919226109982
2,mujets,central,0,0,2.5,50.0,70.0,0,1,0.921700894833
2,mujets,central,0,0,2.5,70.0,100.0,0,1,0.895699620247
2,mujets,central,0,0,2.5,100.0,140.0,0,1,0.889916300774
2,mujets,central,0,0,2.5,140.0,200.0,0,1,0.835018277168
2,mujets,central,0,0,2.5,200.0,300.0,0,1,0.950844168663
2,mujets,central,0,0,2.5,300.0,670.0,0,1,1.02034842968
2,mujets,central,0,0,2.5,670.0,1000.0,0,1,0.829061806202
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.43763+-0.000337048*x+2.22072e-07*x*x+-4.85489/x"
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.40779+-0.00094558*x+8.74982e-07*x*x+-4.67814/x"
2, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.952956+0.000569069*x+-1.88872e-06*x*x+1.25729e-09*x*x*x"
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.086, 1.57099401951
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.086, 0.192, 66.8940495493*(x-0.086)*(x-0.086)*(x-0.086)+28.8392650021*(x-0.086)*(x-0.086)-8.36878880265*(x-0.086)+1.5709940195083618
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.192, 0.233, -522.269762119*(x-0.192)*(x-0.192)*(x-0.192)+39.0108618003*(x-0.192)*(x-0.192)+0.0*(x-0.192)+1.087612271308899
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.233, 0.2745, -210.798474984*(x-0.233)*(x-0.233)*(x-0.233)+6.31396100438*(x-0.233)*(x-0.233)+0.565084257259*(x-0.233)+1.1171941757202148
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2745, 0.3235, 2807.19440586*(x-0.2745)*(x-0.2745)*(x-0.2745)-206.32878883*(x-0.2745)*(x-0.2745)+0.0*(x-0.2745)+1.1364529132843018
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.3235, 0.383, -6.6088770656*(x-0.3235)*(x-0.3235)*(x-0.3235)+0.589842278105*(x-0.3235)*(x-0.3235)+0.0*(x-0.3235)+0.9713211059570312
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.383, 0.445, 201.880697765*(x-0.383)*(x-0.383)*(x-0.383)-18.7749048922*(x-0.383)*(x-0.383)+0.0*(x-0.383)+0.9720171689987183
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.445, 0.5085, -298.041061189*(x-0.445)*(x-0.445)*(x-0.445)+28.3884110783*(x-0.445)*(x-0.445)+0.0*(x-0.445)+0.9479602575302124
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5085, 0.573, 735.519143573*(x-0.5085)*(x-0.5085)*(x-0.5085)-71.1614771407*(x-0.5085)*(x-0.5085)+0.0*(x-0.5085)+0.9861166477203369
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.573, 0.6375, -453.104464509*(x-0.573)*(x-0.573)*(x-0.573)+43.8378569412*(x-0.573)*(x-0.573)+0.0*(x-0.573)+0.8874334692955017
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.6375, 0.703, 1.61364218144*(x-0.6375)*(x-0.6375)*(x-0.6375)-1.3950655733*(x-0.6375)*(x-0.6375)+0.0*(x-0.6375)+0.9482256174087524
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.703, 0.769, 896.646873817*(x-0.703)*(x-0.703)*(x-0.703)-87.5408828943*(x-0.703)*(x-0.703)-0.161984804995*(x-0.703)+0.9426938891410828
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.769, 0.835, -437.473910451*(x-0.769)*(x-0.769)*(x-0.769)+43.3099171347*(x-0.769)*(x-0.769)+0.0*(x-0.769)+0.8084571957588196
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.835, 0.901, 87.5586711909*(x-0.835)*(x-0.835)*(x-0.835)-15.7536466584*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.871343195438385
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.901, 0.972, 39.235908856*(x-0.901)*(x-0.901)*(x-0.901)-12.7641922785*(x-0.901)*(x-0.901)-0.935264643783*(x-0.901)+0.827893078327179
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.972, 1.1, 0.711187958717
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0, 0.075, 1.3632632494
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.075, 0.1745, 4.21114695171*(x-0.075)*(x-0.075)*(x-0.075)-2.28497659802*(x-0.075)*(x-0.075)-1.45289128361*(x-0.075)+1.3632632493972778
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.1745, 0.2245, 821.002786655*(x-0.1745)*(x-0.1745)*(x-0.1745)-43.7499349612*(x-0.1745)*(x-0.1745)-1.78252740379*(x-0.1745)+1.2002270221710205
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.2245, 0.277, -684.351993681*(x-0.2245)*(x-0.2245)*(x-0.2245)+53.8927195024*(x-0.2245)*(x-0.2245)+0.0*(x-0.2245)+1.1043511629104614
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.277, 0.3325, 214.555381115*(x-0.277)*(x-0.277)*(x-0.277)-27.5868300558*(x-0.277)*(x-0.277)+0.0*(x-0.277)+1.153865098953247
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.3325, 0.391, 519.906809269*(x-0.3325)*(x-0.3325)*(x-0.3325)-36.3954507343*(x-0.3325)*(x-0.3325)-1.07948549816*(x-0.3325)+1.105569839477539
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.391, 0.452, -105.278491795*(x-0.391)*(x-0.391)*(x-0.391)+9.63298199927*(x-0.391)*(x-0.391)+0.0*(x-0.391)+1.0219517946243286
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.452, 0.515, 86.86775865*(x-0.452)*(x-0.452)*(x-0.452)-10.4466305979*(x-0.452)*(x-0.452)+0.0*(x-0.452)+1.0338999032974243
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.515, 0.579, 56.2281682937*(x-0.515)*(x-0.515)*(x-0.515)-3.1952396789*(x-0.515)*(x-0.515)-0.281941053094*(x-0.515)+1.0141582489013672
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.579, 0.6435, -59.4836925185*(x-0.579)*(x-0.579)*(x-0.579)+8.13260238074*(x-0.579)*(x-0.579)+0.0*(x-0.579)+0.9977661967277527
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.6435, 0.709, -88.6999900928*(x-0.6435)*(x-0.6435)*(x-0.6435)+6.37351744863*(x-0.6435)*(x-0.6435)+0.306704611716*(x-0.6435)+1.0156382322311401
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.709, 0.7745, 171.601535585*(x-0.709)*(x-0.709)*(x-0.709)-21.3851869884*(x-0.709)*(x-0.709)+0.0*(x-0.709)+1.038145661354065
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.7745, 0.8395, 113.046122409*(x-0.7745)*(x-0.7745)*(x-0.7745)-6.46185053988*(x-0.7745)*(x-0.7745)-0.592819031349*(x-0.7745)+0.9946198463439941
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.8395, 0.9045, -196.133519391*(x-0.8395)*(x-0.8395)*(x-0.8395)+19.1230181406*(x-0.8395)*(x-0.8395)+0.0*(x-0.8395)+0.9598305821418762
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9045, 0.9735, 160.846602534*(x-0.9045)*(x-0.9045)*(x-0.9045)-40.3525655248*(x-0.9045)*(x-0.9045)+0.0*(x-0.9045)+0.9867621660232544
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9735, 1.1, 0.847483158112
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0, 0.079, 1.37946307659
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.079, 0.186, 61.9677590133*(x-0.079)*(x-0.079)*(x-0.079)+8.2808480454*(x-0.079)*(x-0.079)-3.90050810055*(x-0.079)+1.3794630765914917
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.186, 0.243, -86.476348333*(x-0.186)*(x-0.186)*(x-0.186)+7.39372778247*(x-0.186)*(x-0.186)+0.0*(x-0.186)+1.1328293085098267
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.243, 0.3025, 63.7958810324*(x-0.243)*(x-0.243)*(x-0.243)-11.0597337862*(x-0.243)*(x-0.243)+0.0*(x-0.243)+1.1408367156982422
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.3025, 0.3655, 438.465194443*(x-0.3025)*(x-0.3025)*(x-0.3025)-37.2304997407*(x-0.3025)*(x-0.3025)-0.638548217089*(x-0.3025)+1.115120768547058
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.3655, 0.4295, 1.14500820258*(x-0.3655)*(x-0.3655)*(x-0.3655)+0.739970729612*(x-0.3655)*(x-0.3655)-0.108786114184*(x-0.3655)+1.0367612838745117
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.4295, 0.493, -390.15026477*(x-0.4295)*(x-0.4295)*(x-0.4295)+37.1618127193*(x-0.4295)*(x-0.4295)+0.0*(x-0.4295)+1.0331300497055054
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.493, 0.556, 106.247333306*(x-0.493)*(x-0.493)*(x-0.493)-16.5159889449*(x-0.493)*(x-0.493)+0.0*(x-0.493)+1.0830786228179932
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.556, 0.6205, 381.602714673*(x-0.556)*(x-0.556)*(x-0.556)-30.5950424168*(x-0.556)*(x-0.556)-0.815927609382*(x-0.556)+1.0440934896469116
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.6205, 0.6865, -397.44432533*(x-0.6205)*(x-0.6205)*(x-0.6205)+39.3469882077*(x-0.6205)*(x-0.6205)+0.0*(x-0.6205)+0.9665809273719788
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.6865, 0.749, 233.940917969*(x-0.6865)*(x-0.6865)*(x-0.6865)-21.9319610596*(x-0.6865)*(x-0.6865)+0.0*(x-0.6865)+1.0237127542495728
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.749, 0.8085, -190.036058571*(x-0.749)*(x-0.749)*(x-0.749)+16.9607182275*(x-0.749)*(x-0.749)+0.0*(x-0.749)+0.9951555132865906
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.8085, 0.867, 448.280453367*(x-0.8085)*(x-0.8085)*(x-0.8085)-39.3366097829*(x-0.8085)*(x-0.8085)+0.0*(x-0.8085)+1.0151705741882324
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.867, 0.9235, -43.1021501852*(x-0.867)*(x-0.867)*(x-0.867)+3.6529072282*(x-0.867)*(x-0.867)+0.0*(x-0.867)+0.9702973365783691
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.9235, 0.9805, 206.856533489*(x-0.9235)*(x-0.9235)*(x-0.9235)-36.6944465305*(x-0.9235)*(x-0.9235)+0.0*(x-0.9235)+0.9741843342781067
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.9805, 1.1, 0.893272459507
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0, 0.0825, 1.3576104641
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.0825, 0.1975, 2.41217119326*(x-0.0825)*(x-0.0825)*(x-0.0825)-1.49708047536*(x-0.0825)*(x-0.0825)-0.768103202922*(x-0.0825)+1.3576104640960693
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.1975, 0.2635, 97.1352645173*(x-0.1975)*(x-0.1975)*(x-0.1975)-8.11395618614*(x-0.1975)*(x-0.1975)-1.01672882016*(x-0.1975)+1.2531483173370361
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.2635, 0.329, -112.673593688*(x-0.2635)*(x-0.2635)*(x-0.2635)+10.0711501117*(x-0.2635)*(x-0.2635)-0.818407400019*(x-0.2635)+1.1786258220672607
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.329, 0.393, 650.485603981*(x-0.329)*(x-0.329)*(x-0.329)-55.0303649247*(x-0.329)*(x-0.329)-0.949280391345*(x-0.329)+1.1365653276443481
3, iterativefit, central, 0, 0.0, 2.5, 70, 100, 0.393, 0.4575, -1103.04792561*(x-0.393)*(x-0.393)*(x-0.393)+106.719886803*(x-0.393)*(x-0.393)+0.0*(x-0.393)+1.020927906036377
